kid	noun / verb	/kɪd/	中古英语 kide ← 古诺斯语 kið（小山羊）← 原始日耳曼语 *kidjom；十六世纪起用来称人的幼崽	a child, a young goat, or to tease someone playfully	个头刚到大人腰间，一路蹦跳，还不停地问为什么	小孩/开玩笑/小山羊	The kids ran out into the yard.|Don't be angry, I was only kidding.	a young one, still at play – 还在闹的那个幼小的	小孩：个子没长足、心思还在玩上的人|开玩笑：像哄幼崽那样说不当真的话|小山羊：羊里最幼的那只，蹦得最欢
kidnap	verb	/ˈkɪdnæp/	十七世纪贼话：kid（小孩）+ nap（nab 的变体，猛地抓走），字面「抢走孩子」	to take a person away by force and hold them	面包车停在路边，车门一拉，人被拖上去，车立刻开走	绑架/劫持	Two men kidnapped the banker's son.|He was kidnapped on his way home.	carry a person off by force – 硬把人带走关起来	绑架：把人抢走扣住，用来要钱或提条件|劫持：中途把人或车船强行控制在手里
kidney	noun	/ˈkɪdni/	中古英语 kidenei，第二成分 ei 是「蛋」，指其形状；第一成分说法不一，更早词源不明	one of the pair of organs that filter waste from the blood	两只蚕豆形的东西贴在后腰内侧，血从这儿过一遍才变干净	肾/腰子	He donated a kidney to his brother.|The kidneys filter waste from the blood.	the body's filter for blood – 身体里给血过滤的那一对	肾：后腰两侧那对滤血的器官|腰子：同一样东西落到案板和锅里时的叫法
kill	verb	/kɪl/	中古英语 killen / cullen（打死），可能与古英语 cwellan（杀）同源，更早词源不明	to cause the death of a living thing, or to use up time	刀落下去之后，那东西不再动，也不再出声	杀死/弄死/消磨	The frost killed all the young plants.|We killed an hour at the station.	make something stop living – 让活着的东西停下来	杀死：动手让活物断气|弄死：泛指把生物或机器整到不能动|消磨：把一段时间用掉，像把它做掉一样
kilo	noun	/ˈkiːləʊ/	法语 kilo- ← 希腊语 khilioi（一千），十九世纪随公制一起进入英语	a unit of mass equal to one thousand grams	一大袋糖搬上秤，指针转过一整圈才停住	千克/公斤	The bag weighs about two kilos.|She lost five kilos in three months.	a thousand grams counted as one – 一千克并成一份来数	千克：一千克重量算作一份的国际单位|公斤：同一份重量在日常口语里的说法
kin	noun	/kɪn/	古英语 cynn（族、种）← 原始日耳曼语 *kunja（出身、血统）	one's relatives, people of the same family	过年时挤满一屋子的人，长相都有那么一点像	亲属/家族	She has no kin living nearby.|His next of kin were informed.	people you were born among – 生来就同一支的那些人	亲属：血脉上连着你的那一圈人|家族：这些人合起来算作的一支
kind	noun / adjective	/kaɪnd/	古英语 cynd（本性）与 gecynde（天生如此的）← 原始日耳曼语 *kunja（出身），与 kin 同源	a group of things sharing a nature, or gentle and helpful by nature	一筐果子按模样分堆，同一堆的长得像；对自家人说话，语气也比对外人软	种类/善良的/体贴的	What kind of music do you like?|It was kind of you to help.	of one born nature – 生来就是这一路的	种类：按生来的模样归到一起的那一群|善良的：本性里就存着不害人的那一面|体贴的：把这份本性用在照顾别人身上
kindness	noun	/ˈkaɪndnəs/	kind（本性好的）+ -ness（性质）；kind ← 古英语 gecynde ← 原始日耳曼语 *kunja（出身）	the quality of being gentle and helpful, or a helpful act	陌生人替他把箱子搬上台阶，转身就走，没等一句话	善意/好心/善行	I will never forget her kindness.|He showed kindness to every stranger.	acting out of a good nature – 出于本性的那一份好	善意：心里存着不想害人的那份念头|好心：这份念头显在待人接物的样子上|善行：把它做出来的那一件具体事
king	noun	/kɪŋ/	古英语 cyning ← 原始日耳曼语 *kuningaz：*kunja（族）+ -inga（属于），字面「族里出来的那位」	a male ruler of a country, or the best in some field	台阶上头坐着一个人，满屋子的人都朝他那个方向站着	国王/君主/大王	The king ruled for forty years.|He is the king of card tricks.	the head of the kin – 一族之首	国王：一国之内位置最高的那个男人|君主：他手里握着定夺大事的那份权|大王：某一行里最能耐的那个人被这样叫
kiss	verb / noun	/kɪs/	古英语 cyssan ← 原始日耳曼语 *kussjan，词形本身带着拟声的味道	to touch someone with the lips as a sign of love or greeting	两人凑近，嘴唇碰了一下，随即分开	吻/接吻/亲	She kissed her son goodnight.|He gave her a quick kiss.	touch with the lips – 用嘴唇挨上一下	吻：嘴唇挨上去的那一下|接吻：两个人互相挨着，一时不分开|亲：日常口语里做这个动作的说法
