W	assistance	noun	/əˈsɪstəns/	sta	as-（ad- 靠近）+ sist（sistere 立）+ -ance → 站到旁边把力气借出去 → 援助	拉丁语 assistentia ← assistere：ad-（靠近）+ sistere（站立）；sistere 是 stare 的重叠形	help or support given to someone who needs it	他一个人扛不动那头，另一个走过来托住一角，两人同时把它抬离地面	援助/帮助	The charity offers assistance to homeless families. | She walked upstairs without any assistance.	standing beside someone to take part of the load – 站到旁边替人分担一份重量	援助：站到旁边把自己的力气借出去|帮助：同一件事在日常小事上的说法	
W	assistant	noun	/əˈsɪstənt/	sta	as-（靠近）+ sist（立）+ -ant（人）→ 站在旁边搭手的那个人 → 助手	拉丁语 assistens（assistere 的现在分词）：ad-（靠近）+ sistere（站立）	a person whose job is to help someone more senior	主刀的手一伸出来，旁边那人早把钳子递到他手心里	助手/助理	He works as a research assistant. | The shop assistant wrapped the gift for us.	the one standing at your side to hand things over – 站在你旁边随时递东西的那个人	助手：站在旁边搭手的那个人|助理：同一个位置写成正式职务名	
W	consistent	adjective	/kənˈsɪstənt/	sta	con-（一起）+ sist（立）→ 各部分立在一处而互不抵触 → 一致的	拉丁语 consistens（consistere 的现在分词）：con-（一起）+ sistere（站立）——各部分站到同一处	always behaving or happening in the same way, without contradiction	同一块板量了三回，尺上停的都是那一格	一致的/始终如一的	His story stayed consistent under questioning. | She is consistent in her training habits.	parts standing together without knocking into each other – 各部分站在一处而互不冲撞	一致的：几处说法立在同一位置，彼此不打架|始终如一的：把同一问法搬到时间上，每一次都立在原处	
W	constituent	noun / adjective	/kənˈstɪtjuənt/	sta	con-（一起）+ stitu（statuere 立定）→ 一同立起整体的那一块 → 组成部分	拉丁语 constituens（constituere 的现在分词）：con-（一起）+ statuere（立定）← status（立住的样子）	one of the parts that make up a whole, or a voter in a district	把钟拆开摆一桌，齿轮发条一样不少，合回去才走字	组成部分/选民/构成的	Flour is the main constituent of bread. | He met his constituents on Saturday morning.	one of the pieces standing together to make the whole – 与别的一同立起整体的那一块	组成部分/构成的：与别块一同把整体立起来的那一块|选民：一张张选票立起议员的席位，选区里的人就是这个整体里的一块	
W	estate	noun	/ɪˈsteɪt/	sta	estat（status 立住的状态）→ 一个人立身所凭的那份家底 → 地产	古法语 estat（状况、身份）← 拉丁语 status（站立的状态）；本指一个人立身所凭的身份与家产	a large area of land with a house on it, or all the money and property someone leaves	一道围墙圈住宅子、林子和几片田，从这头走到那头要半天	地产/庄园/遗产	He inherited a large estate in Kent. | Her estate was divided among three sons.	the standing a person has in land and property – 一个人在田产上立住的那份身家	地产/庄园：立身所凭、有围墙圈住的那片土地|遗产：人走以后留在世上的那一份身家总数	
W	statesman	noun	/ˈsteɪtsmən/	sta	state（status 立定的邦国）+ -man → 替一国立住方向的人 → 政治家	英语 state（← 拉丁语 status：站立的状态，引申为政体）+ man；指长于治国而非争位的人	a skilled and respected political leader	换过三任领袖，他还在台上，讲的仍是二十年以后的事	政治家/国务活动家	He is remembered as a great statesman. | The old statesman advised three presidents.	one who holds a whole country steady – 把整个邦国稳稳立住的那个人	政治家：为一国立定方向的人|国务活动家：同一种人在正式场合的称法	
W	statue	noun	/ˈstætʃuː/	sta	statu（statuere 立起）+ -e → 被立起来、就那样立着的人形 → 雕像	拉丁语 statua ← statuere（使立起）← status；本义就是「被立起来的那样东西」	a carved or cast figure of a person or animal	广场中央那尊青铜立了一百年，鸽子在他肩上换了几代	雕像/塑像	A bronze statue stands in the square. | Children climbed onto the stone statue.	a figure set upright and left standing – 把一个人形立起来，就那样立着	雕像：石凿或铜铸的那个立着的人形|塑像：同一样东西按材料换个说法	
W	status	noun	/ˈsteɪtəs/	sta	status（stare 立住的样子）→ 眼下立在哪一格上 → 地位	拉丁语 status（站立的样子、状态）← stare（站立）	someone's rank in relation to others, or the current state of something	一张座次图，谁坐哪一排早画定了，位置一换满场都看得出	地位/身份/状况	She has achieved high status in the firm. | Please check the status of my order.	where a thing currently stands – 眼下立在哪一格上	地位/身份：人在众人当中立住的那一格|状况：把同一问法用在事情上，它此刻立到了哪一步	
W	statute	noun	/ˈstætʃuːt/	sta	statut（statuere 立定）→ 被正式立下、从此立在那里的一条 → 法规	拉丁语 statutum（statuere 的过去分词中性形：已立定的事项）← status	a written law passed by a legislature	厚册子里一条条编了号，红笔圈住的那条今天起开始管人	法规/成文法/条例	The statute was passed last year. | Such acts are forbidden by statute.	a rule set upright and left standing – 被立下来、从此立在那里的一条	法规/条例：正式立下、写进册子的那一条|成文法：与口传的惯例相对，强调它立在纸面上	
W	superstition	noun	/ˌsuːpəˈstɪʃn/	sta	super-（在上面）+ stit（stare 立）→ 在道理之上多立出来的一层敬畏 → 迷信	拉丁语 superstitio ← superstare：super-（在上）+ stare（站立）——多出来、立在事理之上的那层敬畏	a belief that certain acts or objects bring luck, not based on reason	出门非要绕开那块井盖，绕不过去就宁可回屋再坐一会儿	迷信	Fear of black cats is a common superstition. | Sailors once held many superstitions.	an extra layer standing above what reason supports – 在道理之上多立出来的一层		
W	alleviate	verb	/əˈliːvieɪt/	levare	al-（ad- 朝）+ lev（levare 使变轻）+ -ate → 把压着的分量卸掉一部分 → 减轻	晚期拉丁语 alleviare：ad-（朝）+ levis（轻的）、levare（举起、使变轻）	to make pain or a problem less severe	从背包里抽出两本厚书塞给同伴，肩带立刻松了一截	减轻/缓解	The pills alleviated her headache within minutes. | New roads alleviate traffic in the old town.	taking weight off so the load rides lighter – 卸掉一部分分量，担子就轻了	减轻：把压着的分量卸掉一部分|缓解：同一个动作用在痛感或紧张上	
W	elevate	verb	/ˈelɪveɪt/	levare	e-（ex- 向上）+ lev（levare 举）+ -ate → 托住往上送 → 举起	拉丁语 elevare：ex-（向上、向外）+ levare（举起）	to raise something to a higher level or position	千斤顶一下一下压，车身离地面越来越远	举起/提升/提拔	Elevate your leg to reduce the swelling. | The win elevated him to national fame.	sending a thing up by carrying it – 托住往上送	举起：把东西托着往上送|提升：同一个动作用在水平与程度上|提拔：把人往上送一格	
