from	from A to B —— 从一端到另一端，地点、时间、范围两头都可用|prevent/stop/keep sb from doing sth —— 阻止某人做某事，keep 与 prevent 后的 from 不可省|suffer from sth —— 受某种病痛或困扰折磨，长期承受而非一时|be different from sth —— 与…不同，英式固定用 from
like	like + n/pron —— 介词，像、如同，后面只接名词或代词，不接从句|look/sound/feel like + n —— 看上去、听起来像，要接从句得换成 as if|like doing sth vs would like to do sth —— 前者是一贯的爱好，后者是此刻的意愿，更客气|nothing like sth —— 完全不像，也表远不及，语气重于 not like
across	across sth —— 从一侧横越到对面，路线与被越过的东西交叉|come/run across sth —— 偶然碰上、无意中发现，不是刻意去找|get sth across to sb —— 把意思讲明白，让对方听懂|across the board —— 全面地、一律，各类各档都算在内
along	along sth —— 沿着河流、道路这类线状物前行，与它同向而不穿过|along with sb/sth —— 连同、一起，附带的那一份放在 with 后|get along with sb —— 与人相处得来，也表事情有进展|all along —— 从一开始就一直如此，强调整段时间没变
around	around sth —— 绕某物一圈或散在其四周，也表绕开障碍|around 30 people / around 1990 —— 大约，估个数，与 about 同义|show sb around sth —— 带某人四处看看|the other way around —— 恰好相反，把两者的位置对调
behind	behind sth —— 在…后面，前面的东西把视线挡住了|fall/lag behind sb —— 落在后头，进度或水平不如人|be behind sth —— 是背后的推手或起因，人本身不露面|behind schedule —— 落后于原定时间，比计划晚
beneath	beneath sth —— 在…正下方，书面语，日常多用 under|beneath one's dignity —— 有失身份、不值得去做|beneath the surface —— 表面之下，指没显露出来的实情|from beneath sth —— 自下方而来，标明来处
beyond	beyond doubt/question —— 毫无疑问，不容再争|beyond one's control —— 非某人力所能及，责任不在他|beyond repair/recognition —— 修不好了、认不出来了，坏到无法回头|go beyond sth —— 超出某个界限或范围
down	down sth —— 顺着…往下或往前，接 street/river 时并不含高低|cut down on sth —— 减少某物的用量，一步步压下来|let sb down —— 使某人失望，没兑现他的指望|feel/be down —— 情绪低落，此处作形容词
aboard	aboard a ship/plane/train —— 在船上、机上、车上，作介词时带宾语|go/come/climb aboard —— 上船、登机，作副词时后面不带宾语|All aboard! —— 请上车、请登船，站台与码头上的招呼|welcome sb aboard —— 欢迎登乘，也用来比喻欢迎加入团队
except	except + n/pron —— 把它排除在外不算，与 besides（一并算上）方向相反|except for + n —— 整体成立只有这一处例外，多用于挑毛病|except that + 从句 —— 要接从句时用这个壳，也说 except when/where|cannot do anything except do sth —— 否定句里接动词原形，等于只能
during	during the war/meeting —— 后接有起止的时段名词，回答什么时候发生|for two hours, not during two hours —— 问持续多久用 for 接时长，during 不接数量时长|during one's stay/visit —— 在某人逗留期间，所有格加事件名词|at some point during sth —— 在某段过程中的某一刻，把时点放进时段里
among	among + plural n —— 后接可数复数或集体名词，三者以上才用|divide/share sth among sb —— 在三人以上之间分摊，只两方时用 between|among the most + adj —— 属于最…之列，避开 the most 独此一个的说法|popular among sb —— 在某群人当中受欢迎，指群体内部
amid	amid + uncountable/abstract n —— 后接不可数或抽象名词，如 amid uncertainty|amid growing concern/criticism —— 在越来越强的某种气氛之中，新闻里的背景交代|amid the ruins/crowd —— 也可接集合名词，此时近似 in the middle of|amid vs among —— 前者衬托抽象背景，后者点明夹在一群可数的东西里
onto	onto sth —— 从外面移到某物表面并停在上面，含落点|get onto sth —— 登上车船，也表转到某个话题|be onto sb/sth —— 察觉某人的把戏，或摸到了点门道|hold/hang onto sth —— 抓紧不放，也表保住不丢
plus	A plus B —— 加上，算式与清单里都用，谓语看前一项|plus + n/doing —— 而且还有，口语里追加一条|a plus —— 作名词，一个优势或加分项|plus or minus 5% —— 正负、上下浮动，给出误差范围
concerning	concerning + n —— 关于，正式语域，多见于公文与学术，日常说 about|matters/questions concerning sth —— 与…有关的事项，后置修饰前面的名词|a concerning trend —— 也作形容词表令人担忧，与介词义不相干
regarding	regarding + n —— 关于、至于，书面正式，常用来引出信函话题|with/in regard to sth —— 同义的短语形式，公文里更常见|as regards sth —— 同义，注意 regards 带 s 且后面不加 to|regarding vs concerning —— 两者用法几乎相同，都限书面，前者中性、后者略硬
