# 介词与兼类介词	18 词	回填第 15 列 collocations；其余各列已入库，**不要重写**
from	preposition	从/自/来自
like	preposition / verb / adjective	像/喜欢/类似的
across	preposition / adverb	横过/在对面/穿过
along	preposition / adverb	沿着/顺着/向前
around	preposition / adverb	围绕/四周/大约
behind	preposition / adverb	在后面/落后/背后
beneath	preposition / adverb	在下面/低于/不值得
beyond	preposition / adverb	在那边/超出/除…之外
down	adverb / preposition	向下/沿着…往下/低落的
aboard	adverb / preposition	在船上/上船/在车上
except	preposition	除…之外/除外
during	preposition	在…期间/在…过程中
among	preposition	在…之中/在…之间
amid	preposition	在…之中/在…期间
onto	preposition	到…上面/察觉
plus	preposition / noun	加上/优势
concerning	preposition	关于/有关
regarding	preposition	关于/至于
