# 程度与频度副词	29 词	回填第 15 列 collocations；其余各列已入库，**不要重写**
really	adverb	真正地/确实/很
certainly	adverb	当然/确实/无疑
practically	adverb	实际上/实用地/几乎
largely	adverb	主要地/大部分/多半
mostly	adverb	主要地/大多/通常
nearly	adverb	几乎/差不多/将近
barely	adverb	几乎不/仅仅/勉强
badly	adverb	很糟地/严重地/非常
highly	adverb	非常/高度地/高地位地
possibly	adverb	可能/也许/尽可能
finally	adverb	最终/终于/最后
presently	adverb	目前/不久/很快
hitherto	adverb	迄今/到目前为止/此前
nowadays	adverb	如今/现在/这些年
forever	adverb	永远/永久地/老是
always	adverb	总是/一直/永远
ever	adverb	曾经/永远/究竟
apart	adverb	分开/相隔/除外
aside	adverb / noun	在旁边/到一边/旁白
abroad	adverb	在国外/到国外/广泛地
ahead	adverb	在前面/向前/提前
away	adverb	离开/在远处/不在
forward	adverb / adjective / verb	向前/前面的/转发
later	adverb / adjective	后来/以后/较晚的
further	adverb / adjective / verb	更远/进一步/额外的/促进
nowhere	adverb	无处/哪里都不/毫无进展
minus	preposition / noun / adjective	减去/负的/不利之处
lest	conjunction	免得/以免/唯恐
downtown	adverb / noun	市中心/在市中心/商业区的
