seldom	seldom + do sth —— 不常做某事|seldom had/did + subject —— 置句首时主谓倒装：Seldom had he seen such a thing.|seldom, if ever —— 即便有也极少
under	under way —— 在进行中（不是 on the way）|under pressure —— 承受压力|under control —— 在控制之下|under consideration —— 在考虑中|under the circumstances —— 在这种情况下
until	not until + clause/time —— 直到…才；置句首时主句倒装：Not until dusk did they arrive.|until further notice —— 在另行通知之前|up until now —— 直到现在
till	till now —— 到现在为止|from morning till night —— 从早到晚|wait till + clause —— 等到…时（不与 not 连用作倒装，那是 until 的型式）
per	per annum —— 每年（书面、常用于金额）|per capita —— 按人均|per cent —— 百分之（英式分写，美式 percent）|as per + noun —— 按照…（as per your request）
within	within reach —— 够得到的范围内|within sight —— 视野之内|within + time span —— 在…之内完成（within two weeks）|within reason —— 在合理范围内
throughout	throughout the year —— 全年（不加 a/the 之外的限定）|throughout the world —— 全世界|throughout + noun phrase —— 贯穿整个…（throughout his career）
through	go through sth —— 经历；仔细查阅|get through sth —— 完成；通过（考试）|through and through —— 彻头彻尾|be through with sth —— 与…了结
toward	attitude toward sb/sth —— 对…的态度|move toward sth —— 朝…推进|toward the end of —— 接近…末尾（英式多作 towards）
too	too + adj + to do —— 太…以致不能|too much/many + noun —— 过多的|only too + adj —— 实在太…（只太乐意 only too glad）|all too + adj —— 未免太…
well	as well as + noun/-ing —— 除…之外还|well aware of sth —— 很清楚某事|may/might as well do —— 不妨做|well worth doing —— 很值得做
without	without doubt —— 毫无疑问|without fail —— 必定、务必|without delay —— 立即|do without sth —— 没有…也行|without so much as + -ing —— 甚至连…都没有
shortly	shortly after/before —— 不久之后／之前|shortly afterwards —— 随即|reply shortly —— 简短地答（另一义，语气生硬）
simply	simply because + clause —— 只是因为|not simply + noun —— 不仅仅是|put simply —— 简单说来
sometimes	sometimes + present tense —— 有时（谈习惯，位置灵活）|sometimes A, sometimes B —— 有时…有时…（注意与 sometime 某时、some time 一段时间三者有别）
sometime	sometime + next week/soon —— 某个时候（单词连写，指不确定的时点）|sometime + former title —— 一度担任…的（sometime chairman；与 sometimes 有时、some time 一段时间三者有别）
nothing	nothing but + noun —— 只不过是|have nothing to do with —— 与…无关|nothing of the kind —— 完全不是那样|for nothing —— 白费；免费
none	none of + plural noun + is/are —— 无一…（正式文体用单数动词）|none other than —— 正是…本人|none the wiser —— 仍然不明白|second to none —— 首屈一指
wherever	wherever + clause —— 无论在哪里（引导让步从句）|wherever possible —— 只要可能就
whenever	whenever + clause —— 每当；无论何时（引导时间或让步从句）|whenever possible —— 只要有可能就
