consequently	consequently, S + V —— 因此，表示前句导致后句|consequently + clause —— 结果是
accordingly	accordingly, S + V —— 因此，依据前述情况|act accordingly —— 按情况采取相应行动
henceforth	henceforth —— 从今以后
nevertheless	nevertheless, S + V —— 然而，尽管前面如此|nevertheless + adjective —— 尽管如此仍然
meanwhile	meanwhile, S + V —— 与此同时|in the meantime —— 在此期间
thereby	thereby doing sth —— 从而做某事|thereby + -ing —— 以此方式导致结果
notwithstanding	notwithstanding sth —— 尽管某事|notwithstanding that clause —— 虽然某事
thereafter	thereafter —— 此后，从那以后
thereby	thereby doing sth —— 从而做某事
otherwise	otherwise, S + V —— 否则|or otherwise —— 或者以其他方式
therefore	therefore, S + V —— 因此|therefore + conclusion —— 因此得出结论
thus	thus, S + V —— 因此|thus far —— 到目前为止
however	however + adjective —— 无论多么……|however, S + V —— 然而
even	 even if clause —— 即使|even though clause —— 尽管
either	either A or B —— A 或 B|either of sth —— 两者之一
neither	neither A nor B —— 既不 A 也不 B|neither of sth —— 两者都不
hardly	hardly ever —— 几乎从不|hardly had sb done when —— 刚……就……
almost	almost all sth —— 几乎所有|almost never —— 几乎从不
fairly	fairly + adjective —— 相当……|fairly well —— 还算好地
rather	rather than doing sth —— 而不是做某事|would rather do sth —— 宁愿做某事
quite	quite + adjective —— 相当……|quite a/an + noun —— 相当一个……
likely	be likely to do sth —— 很可能做某事|it is likely that clause —— 很可能……
merely	merely because clause —— 仅仅因为……|merely a/an + noun —— 只不过是……
mostly	mostly because clause —— 主要因为……|mostly used for —— 主要用于
partly	partly because clause —— 部分因为……|partly due to sth —— 部分由于……
