deep	deep into sth —— 深入某事|deep in thought —— 陷入沉思
half	half of sth —— 某物的一半|half as much —— 一半那么多
ill	fall ill —— 生病|speak ill of sb —— 说某人的坏话
left	be left with sth —— 留下某物|left behind —— 被落下
monthly	monthly report —— 月度报告|paid monthly —— 按月支付
backward	step backward —— 向后退|backward and forward —— 来回地
downward	move downward —— 向下移动|downward trend —— 下降趋势
late	late for sth —— 某事迟到|of late —— 最近
much	much better —— 好得多|not much —— 不太多
eventually	eventually become sth —— 最终变成某物|eventually, S + V —— 最后
just	just as —— 正如|just about —— 大约，差不多
clockwise	turn clockwise —— 顺时针转|clockwise direction —— 顺时针方向
downstairs	go downstairs —— 下楼|downstairs room —— 楼下的房间
elsewhere	go elsewhere —— 去别处|elsewhere in sth —— 某物的其他地方
everywhere	everywhere else —— 其他各处|be found everywhere —— 到处都能找到
farther	farther away —— 更远|go farther —— 走得更远
most	most of sth —— 某物的大部分|at most —— 至多
next	next to sth —— 紧挨某物|next time —— 下次
nor	neither A nor B —— 既不 A 也不 B|nor do I —— 我也不
now	now that clause —— 既然……|from now on —— 从现在起
outside	outside sth —— 在某物外面|outside of sth —— 除某物之外
past	past midnight —— 过了午夜|in the past —— 在过去
presumably	presumably because clause —— 大概因为……|presumably true —— 大概是真的
rarely	rarely ever —— 几乎从不|rarely seen —— 很少见到
readily	readily available —— 随时可得到|readily understand —— 容易理解
