grim	adjective	/ɡrɪm/	古英语 grimm（凶狠的、严厉的）← 原始日耳曼语 *grimmaz	looking or sounding harsh and offering no comfort	医生把片子往灯箱上一插，嘴角压成直线，屋里没人敢先开口	严酷的/冷酷的/令人沮丧的	The prisoners faced a grim future.|His grim face told us the news was bad.	hard-set and giving no comfort – 板着不松动，也不给人一点安慰	严酷的：条件硬到不留余地|冷酷的：脸绷着，看不出一点温情|令人沮丧的：看着它就觉得前头没指望
grin	verb / noun	/ɡrɪn/	古英语 grennian（露出牙齿）← 原始日耳曼语 *grinnōn	to smile widely so that the teeth show	他嘴角一直拉到耳根，上排牙全露在外头，眼睛挤成两条缝	露齿而笑/咧嘴笑	She gave me a wide grin.|He grinned at his own joke.	a smile pulled wide enough to bare the teeth – 笑到把牙露出来的那种拉开	露齿而笑：嘴角拉开，牙齿露在外面|咧嘴笑：指同一个动作，也指脸上留下的那个样子
grind	verb	/ɡraɪnd/	古英语 grindan（碾碎、摩擦）← 原始日耳曼语	to crush something into powder, or to rub two hard surfaces together	石盘转一圈，麦粒从中间的孔漏下去，边上白粉一点点堆起来	磨碎/碾/磨	The mill grinds wheat into flour.|He ground the beans for coffee.	rubbing a hard thing down to bits – 靠硬碰硬把东西蹭成碎末	磨碎：两面硬东西夹住，蹭成粉末|碾：压着来回蹭，把颗粒压破|磨：泛指这种蹭的动作，也用于刀刃和牙齿
grip	verb / noun	/ɡrɪp/	古英语 grippan（抓住）← 原始日耳曼语 *gripjan	to hold something very tightly, or a tight hold	绳子往下坠，他五指扣死缠两圈，指节全泛白也不松	紧握/抓牢/控制力	She gripped the rail with both hands.|He has a firm grip on the situation.	closing the hand so nothing can slip – 手合死，让东西滑不出去	紧握：手指收紧扣住不放|抓牢：抓的结果是稳住，不再打滑|控制力：像手扣住那样，把局面攥在手里
groan	verb / noun	/ɡrəʊn/	古英语 grānian（呻吟）← 原始日耳曼语 *grainōn	to make a long low sound because of pain or displeasure	伤员在担架上从喉咙深处拖出一串低音，一路没断	呻吟/抱怨声/发出低沉声	The injured man groaned in pain.|The class groaned when she set more homework.	a long low sound pushed out under strain – 撑不住时从喉咙里拖出来的一串低音	呻吟：疼得压不住，声音从喉咙漏出来|抱怨声：一群人同时哼出这声，表示不愿意|发出低沉声：木头或门轴受重时也这么响
grocer	noun	/ˈɡrəʊsə/	古法语 grossier ← 中世纪拉丁语 grossarius（成批卖货的人）← grossus（粗、大块）	a person or shop selling food and small everyday goods	柜台后头一排玻璃罐装着糖和茶叶，秤盘上还有没扫净的米	食品杂货商/杂货店	She bought eggs at the corner grocer.|The grocer weighed out a pound of rice.	the shop that sells everyday food by weight – 按斤两卖日常吃用的那家铺子	食品杂货商：站在秤后头卖这些货的人|杂货店：卖这些货的那间铺子
grope	verb	/ɡrəʊp/	古英语 grāpian（触摸、探摸）← 原始日耳曼语，与 grip 同源	to feel about with the hands because you cannot see	停电了，他贴着墙一寸寸往前挪，手在半空里划来划去找开关	摸索/暗中摸/探寻	He groped for the light switch in the dark.|She groped her way along the wall.	hands feeling ahead where the eyes are useless – 眼睛不管用时，让手先伸出去试	摸索：看不见，只能靠手一点点试出路|暗中摸：在黑处伸手去碰，找想要的东西|探寻：像黑里伸手那样，试着找答案
gross	adjective / noun	/ɡrəʊs/	古法语 gros ← 晚期拉丁语 grossus（粗的、厚的、大块的）	whole and before anything is taken off, or coarse and very obvious	工资单最上面那行数目最大，往下每扣一项就少一截	总的/严重的/粗俗的	His gross income is fifty thousand a year.|That was a gross error of judgement.	the thick whole before any trimming – 还没削减过的那一整块	总的：没扣掉任何一项的整个数目|严重的：错处大到一眼就看见，藏不住|粗俗的：不加修饰，粗厚得让人不适
ground	noun / verb	/ɡraʊnd/	古英语 grund（底部、地基）← 原始日耳曼语 *grunduz	the solid surface of the earth, or the base something rests on	铁锹往下一插，翻起一块带草根的土，底下石子露出来	地面/根据/使搁浅	He sat down on the wet ground.|We have good grounds for believing her.	the solid bottom everything stands on – 一切东西踩着的那个实底	地面：脚底下那层结实的土|根据：说法立在什么上面，那个底子|使搁浅：船底碰上实底，动不了
group	noun / verb	/ɡruːp/	法语 groupe ← 意大利语 gruppo（一团、一簇）← 日耳曼语 *kruppaz（圆块）	a number of people or things gathered together	照片里七八个人挤在一起，肩挨着肩，边上还空着一大片	群/组/分组	A group of tourists waited by the gate.|Please group these files by date.	several drawn together into one lump – 几样东西凑到一处成了一团	群：几个人或物聚在一处，看着像一团|组：按某个标准归到一起的那一份|分组：把散着的按标准归成几团的动作
