anything	pronoun	/ˈeniθɪŋ/	古英语 ǣnig þing（任一件东西），any + thing 的合成	any object, event or matter at all	桌上摊开一堆零碎，他说随便挑，哪一件都行	任何事物/任何东西	We did not hear anything last night.|You can ask me anything you like.	no matter which one of them, it will do – 里头哪一件都算，不用挑定	任何事物：哪一件都算、不加挑选的那个|任何东西：同一个不挑，落在具体物件上
anyway	adverb	/ˈeniweɪ/	中古英语 any + way 的合成，古英语 ǣnig（任一）+ weg（路、方式）	in spite of what has just been said or done	鞋早湿透了，他也不绕水坑，径直踩过去	无论如何/反正/不管怎样	It was raining, but we went anyway.|Thanks anyway for trying to help.	going on with it even after the reason to stop has appeared – 该停的理由都摆出来了，还是照旧往下做	无论如何：条件怎么变都照旧的那一下|反正：说来说去结果一样，索性照旧|不管怎样：把前头的话搁下，接着做
anywhere	adverb	/ˈeniweə(r)/	中古英语 any + where 的合成，古英语 ǣnig（任一）+ hwǣr（何处）	in or to any place at all	他把手指往地图上一按，说这儿也行，那儿也行	任何地方/无论何处	I cannot find my keys anywhere.|We could stop anywhere along the road.	whichever spot on the map you land on, it counts – 指到哪一处都算，不限定某一处	任何地方：落在哪一处都算的那种说法|无论何处：同一个不限定，用在方向和去处上
appal	verb	/əˈpɔːl/	古法语 apalir（使发白）← 拉丁语 ad-（向）+ pallere（发白）	to shock someone deeply and leave them dismayed	门推开的一瞬，她脸上血色退干，手撑住门框没动	使震惊/使惊骇/使胆寒	The state of the ward appalled her.|We were appalled by his remarks.	the moment the blood leaves the face and the body locks – 脸上血色一下退掉，人也定在那儿	使震惊：脸色白掉、定在原地那一下|使惊骇：同一下从心口往外发凉|使胆寒：白了脸之后连往前一步都不敢
applause	noun	/əˈplɔːz/	拉丁语 applausus ← applaudere（ad- 向 + plaudere 拍手）	the sound made by many people clapping together	幕一落下，黑暗里几百双手同时拍起来，屋顶都在响	掌声/喝彩/称赞	The speech ended to loud applause.|She won applause for her honesty.	hundreds of palms hitting each other at the same moment – 几百只手掌同一刻互相拍在一起	掌声：许多手掌同时相击发出的响|喝彩：那阵响里夹着叫出来的声|称赞：把这阵响挪去说口头的肯定
approach	verb / noun	/əˈprəʊtʃ/	古法语 aprochier（走近）← 晚期拉丁语 appropiare ← ad-（向）+ prope（近）	to come nearer to something, or the way of getting to it	车灯从路那头慢慢变大，最后停在门前一步远	接近/靠近/方法/入口	A car approached the gate slowly.|They tried a new approach to the problem.	the shape growing bigger until it is one step away – 那个影子越变越大，最后离你一步	接近/靠近：越变越大、离你越来越短的那一段|方法：走近一件事所取的那条路线|入口：通到跟前的那一小段路
apt	adjective	/æpt/	拉丁语 aptus（合适的、系住的）← apere（系上）	exactly suitable, or likely to do a particular thing	榫头往卯眼里一送，不松不紧，正好卡住	恰当的/易于…的/聪敏的	That is an apt name for the dog.|He is apt to forget his keys.	the piece that slides into the hole with no play left – 一送进去就不松不紧、正好卡住的那块	恰当的：不松不紧、正好卡住那一块|易于…的：形状就朝那边合，自然往那边去|聪敏的：一点就合上，学什么都对得上
arch	noun	/ɑːtʃ/	古法语 arche（拱）← 拉丁语 arcus（弓、弧）	a curved structure that carries weight over an opening	两边石块斜着往上收，顶上压一块，桥就站住了	拱门/拱形/足弓	They walked under the stone arch.|The bridge rests on three arches.	two sides leaning up into each other and holding – 两边斜着往上互相顶住，就不塌了	拱门：两侧斜收、顶上合住的那道口|拱形：同一条向上弯起的线|足弓：脚底那道向上弯、承住体重的弧
area	noun	/ˈeəriə/	拉丁语 area（空地、打谷场）	a part of a surface, or the size of that part	他用绳子在地上圈出一块，说这一圈里都算	面积/地区/区域/领域	The room has an area of twenty square metres.|This area of the city floods often.	the flat piece a rope marks off on the ground – 用绳在地上圈出来的那一块平地	面积：圈住的那一块有多大|地区/区域：地面上被圈开的那一块|领域：把这一圈挪到学问和行当上
argue	verb	/ˈɑːɡjuː/	古法语 arguer（论证）← 拉丁语 arguere（使明白、证明）	to give reasons against someone, or to state a case	两人隔着桌子，一句压一句，谁也不肯先停下	争论/辩论/主张	They argued about money all evening.|She argued that the plan was unfair.	two people pushing words back and forth, neither stopping – 一句压一句，谁都不肯先停的那来回	争论/辩论：一句压一句地把理往外推|主张：把理摆出来，要人照这个信
argument	noun	/ˈɑːɡjumənt/	古法语 argument ← 拉丁语 argumentum（论据）← arguere（证明）	a disagreement, or a reason given to support a view	隔壁两人的声音越来越高，中间夹着一条条摊出来的理由	争吵/论点/论据	They had an argument over the bill.|His argument rests on one weak fact.	the reasons laid out one by one, and the noise that comes with them – 一条条摊出来的理由，连带那阵拔高的声	争吵：声音拔高、来回顶撞的那一场|论点：摊出来要人接的那一条|论据：垫在那一条下面、把它支住的东西
