word	old_phonetic	new_phonetic	old_pos	new_pos	note
reciprocal	/rɪˈsɪprək(ə)l/	/rɪˈsɪprək(ə)l/	adjective	adjective	
recognition	/ˌrekəɡˈnɪʃ(ə)n/	/ˌrekəɡˈnɪʃ(ə)n/	noun	noun	
recognize	/ˈrek.əɡ.naɪz/	/ˈrek.əɡ.naɪz/	verb	verb	
recollect	/ˈrecollect/		verb	verb	同形异读（多个读音段）
recreation	/ˈrecreation/		noun	noun	同形异读（多个读音段）
recruit	/rɪˈkruːt/	/rɪˈkruːt/	noun	noun	
rectangle	/ˈrektæŋɡl/	/ˈrektæŋɡl/	noun	noun	
redundant	/rɪˈdʌn.dənt/	/rɪˈdʌn.dənt/	adjective	adjective	
reflect	/rɪˈflekt/	/rɪˈflekt/	verb	verb	
reflection	/rɪˈflekʃən/	/rɪˈflekʃən/	noun	noun	
refrain	/rɪˈfreɪn/	/rɪˈfreɪn/	verb	verb	
refuge	/ˈrefjuːdʒ/	/ˈrefjuːdʒ/	noun	noun	
refugee	/ˈrefugee/		noun	noun	重音歧义(候选之一 /ˈrefjʊdʒiː/)
refund	/ˈrefund/		verb	verb	重音歧义(候选之一 /rɪˈfʌnd/)
refute	/rɪˈfjuːt/	/rɪˈfjuːt/	verb	verb	
regret	/rɪˈɡret/	/rɪˈɡret/	verb	verb	
rehearsal	/rɪˈhɜːsl/	/rɪˈhɜːsl/	noun	noun	
reinforce	/ˌriː.ɪnˈfɔːs/	/ˌriː.ɪnˈfɔːs/	verb	verb	
reluctant	/rɪˈlʌktənt/	/rɪˈlʌktənt/	adjective	adjective	
remain	/rɪˈmeɪn/	/rɪˈmeɪn/	noun	noun	
remainder	/rɪˈmeɪndə/	/rɪˈmeɪndə/	noun	noun	
remains	/rɪˈmeɪnz/	/rɪˈmeɪnz/	noun	noun	
remark	/ˈremark/		noun	noun	同形异读（多个读音段）
remarkable	/rɪˈmɑː.kə.bl/	/rɪˈmɑː.kə.bl/	adjective	adjective	
remedy	/ˈremədi/	/ˈremədi/	noun	noun	
remember	/rɪˈmem.bə/	/rɪˈmem.bə/	verb	verb	
remind	/rəˈmaɪnd/	/rəˈmaɪnd/	verb	verb	
remnant	/ˈremnənt/	/ˈremnənt/	noun	noun	
render	/ˈren.də/	/ˈren.də/	verb	verb	
repertoire	/ˈrep.ə.twɑː/	/ˈrep.ə.twɑː/	noun	noun	
reproach	/rɪˈprəʊtʃ/	/rɪˈprəʊtʃ/	noun	noun	
reptile	/ˈrep.taɪl/	/ˈrep.taɪl/	noun	noun	
rescue	/ˈres.kjuː/	/ˈres.kjuː/	verb	verb	
research	/ˈresearch/		noun	noun	重音歧义(候选之一 /ˈriːsɜːtʃ/)
