W	cap	noun	/kæp/			古英语 cæppe（头巾、带帽斗篷）← 晚期拉丁语 cappa（带帽斗篷）；cappa 更早词源不明，或为 capitulare（头饰）的截短，无定论，故不属 caput 族	a soft close-fitting head covering, or a small lid that closes the end of something	一片软布贴着头顶扣下来，前面伸出小檐挡太阳；瓶口那个小圆盖也这么扣上	帽子/盖子/上限	He wore a blue cap to keep off the sun.|Screw the cap back on the bottle tightly.	a covering that fits over the top – 扣在顶上的那一层	帽子：扣在头顶的那块软布，前面常带檐|盖子：同一个动作用在瓶口罐口，扣上去把开口封住|上限：把数目扣在一个高度上，再往上就不许走了		
W	cape	noun	/keɪp/	caput	cap（caput 头、伸出的顶端）→ 陆地伸进海里的那个头	古法语 cap（岬、头）← 拉丁语 caput（头、居首之处）；另一义「披在肩上的那件」来自晚期拉丁语 cappa（带帽斗篷），与 caput 是两个不同的词	a piece of land that sticks out into the sea, or a sleeveless outer garment hanging from the shoulders	海图上那一块陆地直直探进水里，浪从三面绕过它的尖端	海角/岬/斗篷	The ship rounded the cape before dawn.|She fastened a black cape over her shoulders.	land jutting out like a head – 像头一样探出去的陆地	海角：陆地探进海里的那一段尖端|岬：同一处地形的书面说法，测绘与航海图上常用|斗篷：另一支词源，指从肩上垂下来的无袖外衣		
W	captain	noun	/ˈkæptɪn/	caput	capt（caput 头）+ -ain（人）→ 一群人里领头的那个	古法语 capitain ← 晚期拉丁语 capitaneus（为首的）← 拉丁语 caput（头、居首之处）	the person in charge of a ship, aircraft, or team	甲板最高处站着一个人，别人都等他抬手，船头往哪边转由他一句话定	船长/队长/上尉	The captain ordered the crew to lower the sails.|She was made captain of the school team.	the one at the head of a group – 站在一群人最前头的那个	船长：船上说话最后算数的那个人|队长：把这个位置搬到球队里，带头的那一个|上尉：军中的一级职衔，管着一队人		
W	chapter	noun	/ˈtʃæptə/	caput	chapt（capitulum 小头 ← caput 头）+ -er → 一本书里分出来的一个小头	古法语 chapitre ← 晚期拉丁语 capitulum（小标题，字面「小头」）← 拉丁语 caput（头）	one of the main divided parts of a book	翻到新的一页，上头单起一行印着大一号的数字，底下的字才接着往下走	章/章节/时期	I read the first three chapters last night.|This opens a new chapter in her life.	a section headed off on its own – 单独起一个头的那一段	章：书里划出来的一大段，各自起头|章节：同一样东西的合称，说文本结构时用|时期：把书的分段挪到人生上，一段有头有尾的日子		
W	contact	noun / verb	/ˈkɒntækt/	tangere	con-（一同）+ tact（tangere 触）→ 两样东西挨到一处	拉丁语 contactus（碰到）← contingere：com-（一同）+ tangere（触、碰到）	the state of touching, or communication between people	两根铜线的头搭到一处，灯就亮了；一分开，灯又灭掉	接触/联系/联系人	The two wires must not come into contact.|I lost contact with him after school.	two things brought to touch – 两样东西碰到一处	接触：实实在在挨上，中间没有隔开的那点距离|联系：把这个挨上搬到人身上，消息能通到对方|联系人：能替你通上话的那个人，名单里的一条		come into contact with sth —— 与某物接触上，强调碰上的那一刻|keep / lose contact with sb —— 与某人保持、失去联系，介词固定用 with|make contact with sb —— 与某人建立联系，重在把线接通
W	distinct	adjective	/dɪˈstɪŋkt/			拉丁语 distinctus ← distinguere：dis-（分开）+ stinguere（刺、扎）→ 用扎点的办法把界分开；与 tangere（触）无关，本项目未为 stinguere 族建根	clearly different from something else, or easy to see and hear	两块布并排摆着，一块偏灰一块偏蓝，隔着两米也不会拿错	不同的/明显的/清晰的	These two species are quite distinct.|We heard a distinct knock at the door.	marked off so the border shows – 界被划开，分得出彼此	不同的：两样东西之间有一道界，不会混作一谈|明显的：那道界够清楚，一眼就看得出|清晰的：说声音与轮廓时，边缘不含糊		be distinct from sth —— 与某物不同，介词用 from，不用 with|as distinct from sth —— 区别于某物，用来把两者摆开对照
W	distinction	noun	/dɪˈstɪŋkʃn/			拉丁语 distinctio（划分、区别）← distinguere：dis-（分开）+ stinguere（刺、扎）；与 tangere（触）无关，本项目未为 stinguere 族建根	a clear difference between things, or special honour given for excellence	两只碗摆在桌上，讲的人指着说这只与那只不是一路，界在哪儿他划得出来	区别/差别/荣誉	There is a clear distinction between the two terms.|He graduated with distinction last summer.	the line drawn between two things – 在两样东西之间划出的那道界	区别：两样东西之间的那道界本身|差别：同一道界说得松一点，指彼此不一样的地方|荣誉：被单独划出来的那一份，指高出一般的评价		make / draw a distinction between A and B —— 在两者之间作出区分，between 后接两项|with distinction —— 以优异成绩、表现出色，学位与军功上都这么说
W	distinguish	verb	/dɪˈstɪŋɡwɪʃ/			拉丁语 distinguere：dis-（分开）+ stinguere（刺、扎）→ 用扎点的办法把界分开；与 tangere（触）无关，本项目未为 stinguere 族建根	to recognize the difference between things, or to make oneself notable	把两枚硬币凑到灯下翻来翻去，边齿差半道，假的那枚被挑到一边	区分/辨别/使出众	Can you distinguish butter from margarine?|He distinguished himself in the final match.	picking apart what looks alike – 把看着一样的挑开	区分：在两样相似的东西之间把界找出来|辨别：偏在感官上，看出听出哪个是哪个|使出众：把自己从一群人里挑出来，做到别人记得住		distinguish A from B —— 把 A 与 B 区分开，from 后是被撇开的那一项|distinguish between A and B —— 在两者之间加以区别，between 后接两项|distinguish oneself —— 使自己出众，宾语必须是反身代词
W	collection	noun	/kəˈlekʃn/	legere	col-（一同）+ lect（legere 拾取、挑选）+ -ion → 一件件挑起来收拢到一处	拉丁语 collectio（收拢）← colligere：com-（一同）+ legere（拾取、挑选）	a group of things gathered together, or the act of gathering them	玻璃柜里一排小盒，每个底下贴张标签，写着哪一年从哪儿捡回来的	收藏品/收集/募捐	His stamp collection fills three albums.|Rubbish collection happens every Tuesday.	things picked up one by one into one place – 一件件捡拢到一处的那些东西	收藏品：捡拢起来摆在一处的那批东西|收集：这个捡拢的动作本身，也指定期上门取走|募捐：把各人手里的钱一份份收拢，凑成一笔		
W	complex	adjective / noun	/ˈkɒmpleks/	plic	com-（一同）+ plex（plectere 编织，与 plicare 折叠同支）→ 多根线绞到一处，拆不开	拉丁语 complexus（缠绕在一起）← complecti：com-（一同）+ plectere（编、绞）；plectere 与 plicare（折叠）同出一支，本项目并入 plic 根，与 legere（拾取）无关	made of many connected parts and therefore hard to understand, or a group of joined buildings	一把线头绞在一起，拽哪一根都牵动别的几根，想抽出一根得先看清它绕过谁	复杂的/综合体/情结	The tax rules are far too complex.|They built a large sports complex nearby.	many strands twisted into one – 多股绞成一团，牵一处动全身	复杂的：里头的部分互相牵连，看不到头绪|综合体：几处连在一起合用的建筑，当一整片算|情结：心里几样情绪绞在一处，解不开的那一团		
W	dialect	noun	/ˈdaɪəlekt/	logos	dia-（来回、之间）+ lect（legein 说，logos 同支）→ 一地人来回对着说的那套话	希腊语 dialektos（说话的方式）← dialegesthai：dia-（来回）+ legein（说）；希腊语 legein 与拉丁语 legere（拾取）虽同出印欧一源，本项目不合并，legein 一支归 logos	a form of a language spoken in one area or by one group	隔着一道山，同一样青菜两边叫出来是两个音，外人听着能懂七成	方言/土话	She still speaks the dialect of her village.|Many local dialects are slowly dying out.	the way one place speaks among itself – 一处地方自己人之间那套说法	方言：一地或一群人自己用的那套语音与说法|土话：同一样东西说得随口些，偏指与通用话拉开距离的那部分		
