# sta	10 词	补词——同名根已存在，按补词写，勿新建（sta）	现有 24 词
assistance	# 词元 assistance/assistentia/assisto
assistant	# 词元 assistant/assister
consistent	# 词元 consistens/consisto/sisto
constituent	# 词元 constituens/constituo/statuo
estate	# 词元 estat/etat/status
statesman	# 词元 estat/status
statue	# 词元 statue/statua/statuo
status	# 词元 status
statute	# 词元 statut/statutus/statuo
superstition	# 词元 superstition/superstitio/supersto
# levare	5 词	补词——同名根已存在，按补词写，勿新建（levare）	现有 3 词
alleviate	# 词元 allevio
elevate	# 词元 elevatus/elevo/levo
elevator	# 词元 elevatus/elevo/levo
relief	# 词元 relief/relever/relevo
relieve	# 词元 relever/relieve/relevo
# sequ	5 词	补词——同名根已存在，按补词写，勿新建（sequ）	现有 10 词
execute	# 词元 executer/exsecutus/sequor
executive	# 词元 executif/executivus/exsequi
pursue	# 词元 pursure/poursuire/prosequor
second	# 词元 second/seond/secundus
sue	# 词元 suer/siwer/sivre
# cors	3 词	补词——同名根已存在，按补词写，勿新建（cors）	现有 7 词
cord	# 词元 corde/chorda/χορδη
record	# 词元 record/recorder/recordor
recorder	# 词元 recordour/recordeor/recordator
# grat	3 词	补词——同名根已存在，按补词写，勿新建（grat）	现有 5 词
congratulate	# 词元 congratulor/gratus
congratulation	# 词元 congratulation/congratulatio/congratulor
gratitude	# 词元 gratitude/gratitudo/gratus
# sentire	3 词	补词——同名根已存在，按补词写，勿新建（sentire）	现有 6 词
consensus	# 词元 consensus/consentio
nonsense	# 词元 [[sens]], [[sen]], [[san]]/sensus/sentio
sensitive	# 词元 sensitif/sensitivus
# clud	2 词	补词——同名根已存在，按补词写，勿新建（clud）	现有 11 词
closet	# 词元 closet/clausum
conclusion	# 词元 conclusion/conclusio/concludo
# curr	2 词	补词——同名根已存在，按补词写，勿新建（curr）	现有 6 词
curriculum	# 词元 curro
occurrence	# 词元 occurrence/occurrentia
# fundere	2 词	补词——同名根已存在，按补词写，勿新建（fundere）	现有 5 词
confusion	# 词元 confusion/confusio
refusal	# 词元 refuse/refuser/refuto
# merx	2 词	补词——同名根已存在，按补词写，勿新建（merx）	现有 4 词
commercial	# 词元 commercial/commercium
merchandise	# 词元 marchaundise/marcheandise/marcheant
# planus	2 词	补词——同名根已存在，按补词写，勿新建（planus）	现有 6 词
complain	# 词元 complaindre/complangere/plangere
complaint	# 词元 compleint/compleindre/planctus
# rect	2 词	补词——同名根已存在，按补词写，勿新建（rect）	现有 6 词
direction	# 词元 direccion/directio
erect	# 词元 erectus/erigo/rego
# campus-field	1 词	补词——同名根已存在，按补词写，勿新建（campus-field）	现有 4 词
champagne	# 词元 champagne/campania remensis/campaneus
# citare	1 词	补词——同名根已存在，按补词写，勿新建（citare）	现有 3 词
excitement	# 词元 excitement
# credere	1 词	补词——同名根已存在，按补词写，勿新建（credere）	现有 5 词
credential	# 词元 credentialis/credentia
# ferre	1 词	补词——同名根已存在，按补词写，勿新建（ferre）	现有 17 词
interfere	# 词元 entreferir/entre/ferir
# gerere	1 词	补词——同名根已存在，按补词写，勿新建（gerere）	现有 3 词
suggestion	# 词元 suggestioun/sugestiun/suggestio
# klinein	1 词	补词——同名根已存在，按补词写，勿新建（klinein）	现有 4 词
decline	# 词元 decliner
# musa	1 词	补词——同名根已存在，按补词写，勿新建（musa）	现有 3 词
museum	# 词元 museum/μουσειον/μουσα
# origo	1 词	补词——同名根已存在，按补词写，勿新建（origo）	现有 3 词
orient	# 词元 orient/oriente/oriens
# posse	1 词	补词——同名根已存在，按补词写，勿新建（posse）	现有 5 词
possibly	# 词元 possible/possibilis/possum
# qualis	1 词	补词——同名根已存在，按补词写，勿新建（qualis）	现有 3 词
qualitative	# 词元 qualitativus
# solvere	1 词	补词——同名根已存在，按补词写，勿新建（solvere）	现有 7 词
soluble	# 词元 soluble/solvo
# temptare	1 词	补词——同名根已存在，按补词写，勿新建（temptare）	现有 3 词
temptation	# 词元 temptacion/temptatio
# torquere	1 词	补词——同名根已存在，按补词写，勿新建（torquere）	现有 3 词
torment	# 词元 torment/tormentum/torquere
# valere	1 词	补词——同名根已存在，按补词写，勿新建（valere）	现有 2 词
prevail	# 词元 prevaler/praevaleo/valeo
