# pend	9 词	补词——同名根已存在，按补词写，勿新建（pend）	现有 7 词
expenditure	# 词元 expenditus/expendo
expense	# 词元 expense/espense/expendo
independence	# 词元 independance
independent	# 词元 dependant/dependre/dependens
indispensable	# 词元 indispensabilis
pendulum	# 词元 pendulus
pension	# 词元 pencione/pencion/pensio
ponder	# 词元 ponderer/ponderare/pondus
spend	# 词元 expendere
# spect	6 词	补词——同名根已存在，按补词写，勿新建（spect）	现有 24 词
species	# 词元 species/specio/-ies
specific	# 词元 specifique/species
specimen	# 词元 specimen/specio
speculate	# 词元 speculor/specula/specio
suspicion	# 词元 suspicio/suspicere/specere
suspicious	# 词元 sospecious/suspiciosus/suspitiosus
# manus	4 词	补词——同名根已存在，按补词写，勿新建（manus）	现有 3 词
management	# 词元 manege/manus/-izo
manager	# 词元 manege/manus/-izo
maneuver	# 词元 manœuvre/manouvrer/manovre
permanent	# 词元 permanent/permanens/permaneo
# ag	3 词	补词——同名根已存在，按补词写，勿新建（ag）	现有 12 词
activate	# 词元 actif/activus
agency	# 词元 agentia/agens/agere
ambiguous	# 词元 ambiguus/ambigere/ambi
# dare-give	3 词	补词——同名根已存在，按补词写，勿新建（dare-give）	现有 5 词
donate	# 词元 dono
pardon	# 词元 pardoner/dono
update	# 词元 date/datil/datille
# mit-miss	3 词	补词——同名根已存在，按补词写，勿新建（mit-miss）	现有 16 词
committee	# 词元 commite/commettre/committere
compromise	# 词元 compromis/compromissus/compromittere
promise	# 词元 promesse/promissa/promissum
# spirare	3 词	补词——同名根已存在，按补词写，勿新建（spirare）	现有 5 词
aspire	# 词元 aspirer/aspiro
spirit	# 词元 espirit/spiritus/respire
spiritual	# 词元 spirituel/spiritus
# dict	2 词	补词——同名根已存在，按补词写，勿新建（dict）	现有 5 词
contradiction	# 词元 contradiction/contradictio/contradico
dictionary	# 词元 dictionarium/dictionarius/dictio
# gradus	2 词	补词——同名根已存在，按补词写，勿新建（gradus）	现有 8 词
graduate	# 词元 graduatus/graduo/gradus
undergraduate	# 词元 graduatus/graduo/gradus
# nasci	2 词	补词——同名根已存在，按补词写，勿新建（nasci）	现有 5 词
nationality	# 词元 nationalite/natio
natural	# 词元 natural/naturel/naturalis
# plic	2 词	补词——同名根已存在，按补词写，勿新建（plic）	现有 10 词
employment	# 词元 employer/empleier/implico
unemployment	# 词元 employer/empleier/implico
# socius	2 词	补词——同名根已存在，按补词写，勿新建（socius）	现有 5 词
socialism	# 词元 socialisme
sociology	# 词元 sociologie/socius/-λογια
# carrus	1 词	补词——同名根已存在，按补词写，勿新建（carrus）	现有 7 词
discharge	# 词元 deschargier
# claimare	1 词	补词——同名根已存在，按补词写，勿新建（claimare）	现有 4 词
acclaim	# 词元 acclamo/clamo
# domus	1 词	补词——同名根已存在，按补词写，勿新建（domus）	现有 5 词
dome	# 词元 dome/domme/duomo
# filum	1 词	补词——同名根已存在，按补词写，勿新建（filum）	现有 1 词
file	# 词元 filum/file/filer
# humor-moist	1 词	补词——同名根已存在，按补词写，勿新建（humor-moist）	现有 2 词
humiliate	# 词元 humilio/humilis/humus
# loc	1 词	补词——同名根已存在，按补词写，勿新建（loc）	现有 5 词
locomotive	# 词元 locomotif/loco/locus
# norma	1 词	补词——同名根已存在，按补词写，勿新建（norma）	现有 4 词
enormous	# 词元 enormis/norma
# pati	1 词	补词——同名根已存在，按补词写，勿新建（pati）	现有 6 词
compatible	# 词元 compatible/compatibilis/pati
# prassein	1 词	补词——同名根已存在，按补词写，勿新建（prassein）	现有 4 词
practice	# 词元 pratiser/practiquer/practicare
# quir	1 词	补词——同名根已存在，按补词写，勿新建（quir）	现有 11 词
acquire	# 词元 aquerre/acquiro/quaero
# spatium	1 词	补词——同名根已存在，按补词写，勿新建（spatium）	现有 3 词
spacecraft	# 词元 space/espace/espas
# terrere	1 词	补词——同名根已存在，按补词写，勿新建（terrere）	现有 3 词
terrific	# 词元 terrifique/terrificus/terreo
# tradere	1 词	补词——同名根已存在，按补词写，勿新建（tradere）	现有 4 词
tray	# 词元 trair/trado
# vincere	1 词	补词——同名根已存在，按补词写，勿新建（vincere）	现有 4 词
convict	# 词元 convicter/convictus/convinco
