# tendere	9 词	补词——同名根已存在，按补词写，勿新建（tendere）	现有 12 词
attention	# 词元 attentio/attendo/attentus
extension	# 词元 estension/extensio
extent	# 词元 extente/estente/estendre
intense	# 词元 intense/intensus/intendo
intention	# 词元 entencion/intentio
tender	# 词元 tendre/tener
tense	# 词元 tens/tempus/tensus
tension	# 词元 tension/tensio
tent	# 词元 tente/tentus/tendere
# vid	6 词	补词——同名根已存在，按补词写，勿新建（vid）	现有 4 词
advise	# 词元 viso/aviser/avis
provide	# 词元 provideo
provision	# 词元 provision/provisio/provideo
prudent	# 词元 prudent/prudens/providens
revise	# 词元 reviser/reviso/viso
supervise	# 词元 supervidere/videre
# mov	4 词	补词——同名根已存在，按补词写，勿新建（mov）	现有 10 词
motivate	# 词元 motif/motivus
promote	# 词元 promotus/promoveo
remote	# 词元 remot/remote/remotus
remove	# 词元 remover/removoir/removeir
# cadere	3 词	补词——同名根已存在，按补词写，勿新建（cadere）	现有 8 词
coincide	# 词元 coincider/coincido/incido
decide	# 词元 decider/decidere/decido
decision	# 词元 decisio/decisionis/decido
# fac	3 词	补词——同名根已存在，按补词写，勿新建（fac）	现有 24 词
affection	# 词元 affection/affectionem/affectio
fashionable	# 词元 fechoun/fazon/facon
perfection	# 词元 perfection/perfectio
# notare	3 词	补词——同名根已存在，按补词写，勿新建（notare）	现有 4 词
denote	# 词元 denoter/denotare/notare
note	# 词元 note/nota
notebook	# 词元 note/nota
# vert	3 词	补词——同名根已存在，按补词写，勿新建（vert）	现有 10 词
controversial	# 词元 controversialis/controversia/-alis
conversion	# 词元 conversion/conversio/converto
diversion	# 词元 diversio/diverto
# duc-duct	2 词	补词——同名根已存在，按补词写，勿新建（duc-duct）	现有 15 词
reproduce	# 词元 produco/duco
semiconductor	# 词元 conduitor/conductor
# lex-legis	2 词	补词——同名根已存在，按补词写，勿新建（lex-legis）	现有 3 词
college	# 词元 college/collegium
legend	# 词元 legende/legenda/legendus
# operari	2 词	补词——同名根已存在，按补词写，勿新建（operari）	现有 3 词
cooperate	# 词元 operatus/operor
operator	# 词元 operator/operor
# ponere	2 词	补词——同名根已存在，按补词写，勿新建（ponere）	现有 26 词
postpone	# 词元 postpono/pono
purpose	# 词元 purposer/poser/pono
# aequus	1 词	补词——同名根已存在，按补词写，勿新建（aequus）	现有 4 词
equivalent	# 词元 aequivalentem/aequivalens/aequivaleo
# ars	1 词	补词——同名根已存在，按补词写，勿新建（ars）	现有 4 词
article	# 词元 article/articulus/artus
# centrum	1 词	补词——同名根已存在，按补词写，勿新建（centrum）	现有 4 词
eccentric	# 词元 excentrique/eccentricus/εκκεντρος
# clarus	1 词	补词——同名根已存在，按补词写，勿新建（clarus）	现有 3 词
declaration	# 词元 declaration/declarationem/declaratio
# durare	1 词	补词——同名根已存在，按补词写，勿新建（durare）	现有 4 词
endure	# 词元 endurer/induro
# fluere	1 词	补词——同名根已存在，按补词写，勿新建（fluere）	现有 6 词
fluid	# 词元 fluidus/fluo
# jac	1 词	补词——同名根已存在，按补词写，勿新建（jac）	现有 9 词
objection	# 词元 objection/objeccion/obiectio
# modus	1 词	补词——同名根已存在，按补词写，勿新建（modus）	现有 5 词
accommodate	# 词元 accommodatus/accommodo/commodo
# nuntiare	1 词	补词——同名根已存在，按补词写，勿新建（nuntiare）	现有 3 词
pronunciation	# 词元 prononciation/pronunciation/pronuntiatio
# physis	1 词	补词——同名根已存在，按补词写，勿新建（physis）	现有 4 词
physiological	# 词元 physiologicus
# profiteri	1 词	补词——同名根已存在，按补词写，勿新建（profiteri）	现有 2 词
professional	# 词元 professioun/profession/professio
# sci	1 词	补词——同名根已存在，按补词写，勿新建（sci）	现有 5 词
scientific	# 词元 scientifique/scientificus
# sperare	1 词	补词——同名根已存在，按补词写，勿新建（sperare）	现有 3 词
desperate	# 词元 desperatus/despero
# testis	1 词	补词——同名根已存在，按补词写，勿新建（testis）	现有 4 词
testimony	# 词元 testimonie/testimonium
# tribuere	1 词	补词——同名根已存在，按补词写，勿新建（tribuere）	现有 5 词
tribe	# 词元 tribu/tribus
# vocare	1 词	补词——同名根已存在，按补词写，勿新建（vocare）	现有 3 词
provoke	# 词元 provoquer/provocare
