# venire-invent	7 词	补词——同名根已存在，按补词写，勿新建（venire-invent）	现有 6 词
advent	# 词元 adventus
adventure	# 词元 aventure/advenio/aventurer
convenience	# 词元 convenientia/conveniens/convenire
convention	# 词元 convention/conventio/convenio
conventional	# 词元 convention/conventio/convenio
intervene	# 词元 intervenio
revenue	# 词元 revenue/revenu/revenir
# ced	6 词	补词——同名根已存在，按补词写，勿新建（ced）	现有 17 词
access	# 词元 acces/accessus/accedo
excess	# 词元 exces/excessus/excedere
excessive	# 词元 excessif/excessivus
necessary	# 词元 necessaire/necessarius/necesse
necessitate	# 词元 necessitatus/necessito/necessitas
necessity	# 词元 necessite/necessitas/necesse
# minus	5 词	补词——同名根已存在，按补词写，勿新建（minus）	现有 6 词
administration	# 词元 administration/administratio/administrare
miniature	# 词元 miniatura/miniare/minio
minimum	# 词元 minimum/minimus
ministry	# 词元 menistere/ministerium
minus	# 词元 minus/minor/parvus
# putare	4 词	补词——同名根已存在，按补词写，勿新建（putare）	现有 6 词
computer	# 词元 computer/computo
counter	# 词元 conteor/comptoir/computatorium
put	# 词元 pute
reputation	# 词元 reputacion,reputacioun/reputation/reputatio
# forma	3 词	补词——同名根已存在，按补词写，勿新建（forma）	现有 13 词
format	# 词元 format/formatus/formo
formula	# 词元 formula/forma
formulate	# 词元 formula/forma
# pet	3 词	补词——同名根已存在，按补词写，勿新建（pet）	现有 6 词
compete	# 词元 competer/competo/peto
competitive	# 词元 competitus/competere
repeat	# 词元 repeter/repeto/peto
# certus	2 词	补词——同名根已存在，按补词写，勿新建（certus）	现有 4 词
certificate	# 词元 certificat/certificatum/certifico
certify	# 词元 certefier
# cura	2 词	补词——同名根已存在，按补词写，勿新建（cura）	现有 7 词
accuracy	# 词元 accuratus
sure	# 词元 seur/securus/cura
# fin	2 词	补词——同名根已存在，按补词写，勿新建（fin）	现有 11 词
financial	# 词元 finance/finer/finis
fine	# 词元 finio/finis/fine
# mergere	2 词	补词——同名根已存在，按补词写，勿新建（mergere）	现有 3 词
emergency	# 词元 emergens/emergentia/emergo
submerge	# 词元 mergere
# pars	2 词	补词——同名根已存在，按补词写，勿新建（pars）	现有 16 词
partner	# 词元 parconier/parconneour/parcon
party	# 词元 partie/partir/partire
# portus	2 词	补词——同名根已存在，按补词写，勿新建（portus）	现有 13 词
portion	# 词元 porcion/portio/pars
sport	# 词元 desporter/portare/deportare
# battuere	1 词	补词——同名根已存在，按补词写，勿新建（battuere）	现有 3 词
battery	# 词元 batterie/baterie/batre
# circulus	1 词	补词——同名根已存在，按补词写，勿新建（circulus）	现有 4 词
circulate	# 词元 circulor/circulus
# colere	1 词	补词——同名根已存在，按补词写，勿新建（colere）	现有 3 词
cultivate	# 词元 cultivatus/cultivo/cultivus
# fendere	1 词	补词——同名根已存在，按补词写，勿新建（fendere）	现有 4 词
offensive	# 词元 offensif/offendre/defensif
# gen	1 词	补词——同名根已存在，按补词写，勿新建（gen）	现有 8 词
gender	# 词元 gendre/genus/gendrer
# jus	1 词	补词——同名根已存在，按补词写，勿新建（jus）	现有 4 词
just	# 词元 juste/iustus/iuxta
# mun	1 词	补词——同名根已存在，按补词写，勿新建（mun）	现有 4 词
immune	# 词元 immun/immunis/munus
# nutrire	1 词	补词——同名根已存在，按补词写，勿新建（nutrire）	现有 3 词
nursery	# 词元 norricerie/nourricerie/norrice
# plere	1 词	补词——同名根已存在，按补词写，勿新建（plere）	现有 6 词
supply	# 词元 soupleer/souploier/suppleo
# publicus	1 词	补词——同名根已存在，按补词写，勿新建（publicus）	现有 5 词
republican	# 词元 republicain
# sedere	1 词	补词——同名根已存在，按补词写，勿新建（sedere）	现有 4 词
preside	# 词元 presider/praesideo/sedeo
# tain	1 词	补词——同名根已存在，按补词写，勿新建（tain）	现有 10 词
retention	# 词元 retentio/retentus/retineo
# tithenai	1 词	补词——同名根已存在，按补词写，勿新建（tithenai）	现有 3 词
synthetic	# 词元 synthetique/συνθετικος
# turba	1 词	补词——同名根已存在，按补词写，勿新建（turba）	现有 3 词
turbulent	# 词元 turbulent/turbulentus/turba
# wardon	1 词	补词——同名根已存在，按补词写，勿新建（wardon）	现有 3 词
disregard	# 词元 reguard/regarder/reguarder
