# ire	5 词	补词——同名根已存在，勿新建（ire）	现有 4 词
arbitrary	# 词元 arbitrarius
commence	# 词元 comencier
initiative	# 词元 initiative
perish	# 词元 perir
transition	# 词元 transition
# cura	3 词	补词——同名根已存在，勿新建（cura）	现有 9 词
assurance	# 词元 asseurance
curiosity	# 词元 curiousete
reassure	# 词元 rasseurer
# posse	3 词	补词——同名根已存在，勿新建（posse）	现有 9 词
assess	# 词元 assesser
obsession	# 词元 obsessio
session	# 词元 session
# dict	2 词	补词——同名根已存在，勿新建（dict）	现有 10 词
indication	# 词元 indication
indicative	# 词元 indicatif
# fac	2 词	补词——同名根已存在，勿新建（fac）	现有 27 词
facilitate	# 词元 faciliter
facility	# 词元 facilite
# via	2 词	补词——同名根已存在，勿新建（via）	现有 2 词
deviate	# 词元 devio
trivial	# 词元 trivialis
# caedere	1 词	补词——同名根已存在，勿新建（caedere）	现有 5 词
precision	# 词元 precision
# ced	1 词	补词——同名根已存在，勿新建（ced）	现有 23 词
succeed	# 词元 succeder
# ferre	1 词	补词——同名根已存在，勿新建（ferre）	现有 16 词
differentiate	# 词元 differentia
# habere	1 词	补词——同名根已存在，勿新建（habere）	现有 11 词
exhibition	# 词元 exhibicion
# minus-less	1 词	补词——同名根已存在，勿新建（minus-less）	现有 10 词
minute	# 词元 minute
# mov	1 词	补词——同名根已存在，勿新建（mov）	现有 14 词
move	# 词元 moveir
# origo	1 词	补词——同名根已存在，勿新建（origo）	现有 4 词
orientation	# 词元 orientation
# putare	1 词	补词——同名根已存在，勿新建（putare）	现有 9 词
accountant	# 词元 acuntant
# vid	1 词	补词——同名根已存在，勿新建（vid）	现有 11 词
evidence	# 词元 evidentia
