devil	ballein（希腊语 diaballein 投掷、挑拨，承载词义的是 ballein 投；该族在词表内有 devil/symbol/problem 三词）
diagnose	gignoskein（希腊语 gignoskein 认识、辨认，dia＋gignoskein 逐一辨清；该族在词表内有 diagnose/recognize/ignore/ignorant/cognitive/notice/note/acquaint/noble 等词）
dial	dies/diurnus（已建模词根 diurnus，其 origin 即写「来自 dies 日」；dialis 属同一支，该族在词表内有 journal/journey/dial/diary）
diary	dies/diurnus（同上，diarium 是「每日的记事」，与 journal 同义同源，属 diurnus 族补词）
dilute	luere（拉丁语 luere 洗，diluere ＝ dis＋luere 洗开、冲淡；该族在词表内有 dilute/pollute/pollution，另有 lavare 分支的 laundry/lavatory）
disable	habere（已建模词根，able ← 拉丁语 habilis ← habere 拿住；该族现有成员 exhibit/inhibit/prohibit/able/ability/debt，另有 habitare 支）
disc	discus（拉丁语 discus 圆盘 ← 希腊语 diskos；该族在词表内有 disc/dish/desk 三词）
dish	discus（同上，古英语 disc 是早期拉丁借词，常用义「盘子、菜」正出自此；三词同族）
discard	charta（已建模词根，拉丁语 charta 纸 ← 希腊语 khartes；该族现有成员 card/chart/charter/cartoon，discard 是 dis＋card 丢牌）
discount	putare（拉丁语 putare 算、估，count ← computare；该族在词表内有 count/account/compute/computer/dispute/deputy/reputation/county 等词）
dispute	putare（同上，disputare ＝ dis＋putare 各算各的账；同族）
discreet	cernere（已建模词根，拉丁语 cernere 筛、分开；discretus ← discernere 分辨得清，该根现有成员 concern/concerning/discern）
display	plic（已建模词根，拉丁语 plicare 折叠；displicare ＝ dis＋plicare 摊开，该根现有成员 application/applicable/complicate/complication/implication）
divorce	vert（已建模词根，拉丁语 vertere 转；divortium ← divertere 各自转开，该根现有成员 9 个）
doctor	docere（拉丁语 docere 教；该族在词表内有 doctor/document/doctorate/documentary 四词）
document	docere（同上，documentum 本义「用来教示的东西」→ 凭证；四词同族）
dose	dare（已建模词根，变体表已含 dos；希腊语 dosis 与拉丁 dare 同源同义「所给之量」，chunk12 跳 data 时已把 dose 列为该族成员）
dozen	decem（拉丁语 duodecim ＝ duo＋decem 十二；该族在词表内有 dozen/decimal/decade，chunk12 跳 decimal 时即按此三词计）
